Title, Image, Link, Price, Reviews, Stars
"SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode (White)  ","https://m.media-amazon.com/images/I/51V-iEV77ZL._AC_UL320_.jpg","https://amazon.com.au/SoundPEATS-Bluetooth-aptX-Adaptive-Cancellation-TrueWireless/dp/B09LM476H2/ref=sr_1_21?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-21","$,5,9,.,9,9","671","4.4 out of 5 stars"
"KLIM Fusion Earbuds with Microphone + Long-Lasting Wired Ear Buds + 5 Years Warranty - Innovative: in-Ear with Memory Foam + Earphones with Mic and 3.5 mm Jack - New 2021 Version - Black  ","https://m.media-amazon.com/images/I/61jefoi2AsL._AC_UL320_.jpg","https://amazon.com.au/KLIM-Fusion-Gaming-buds-Audio/dp/B0736SCQ4X/ref=sr_1_22?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-22","$,2,4,.,9,7","33,730","4.1 out of 5 stars"
"SOUNDPEATS TrueAir2 Wireless Earbuds Bluetooth V5.2 Headphones Wireless Earphones with Qualcomm QCC3040, TrueWireless Mirroring, 4 Mic for Clear Calls and cVc 8.0 Noise Cancellation, aptX Codec, Total 25 Hours  ","https://m.media-amazon.com/images/I/51Bd-nJxFFL._AC_UL320_.jpg","https://amazon.com.au/SOUNDPEATS-Bluetooth-Headphones-TrueWireless-Cancellation/dp/B08MQP7GYY/ref=sr_1_23?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-23","$,4,9,.,9,9,$,5,6,.,9,9","2,997","4.1 out of 5 stars"
"Jabra Elite Active 75t Earbuds - Active Noise Cancelling True Wireless Sports Earphones with Long Battery Life for Calls and Music - Gray  ","https://m.media-amazon.com/images/I/51VrdN-LfMS._AC_UL320_.jpg","https://amazon.com.au/Jabra-Elite-Active-75t-Earbuds/dp/B086WHZKY8/ref=sr_1_24?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-24","$,2,4,9,.,0,0","49","3.8 out of 5 stars"
"Skullcandy Ink'd (Discontinued by Manufacturer) - Pink/Black  ","https://m.media-amazon.com/images/I/61ucQPHC7ML._AC_UL320_.jpg","https://amazon.com.au/Skullcandy-Inkd-Discontinued-Manufacturer-Black/dp/B007136BMA/ref=sr_1_25?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-25","$,3,3,.,7,5","239","4.3 out of 5 stars"
"Sennheiser Over Ear Noise Cancelling Wireless Headphones HD 450BT, Black  ","https://m.media-amazon.com/images/I/71z97HfSZxS._AC_UL320_.jpg","https://amazon.com.au/Sennheiser-Active-Cancellation-Over-Ear-Headphones/dp/B083T4XJDY/ref=sr_1_26?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-26","","1,965","4.1 out of 5 stars"
"Anker Soundcore Life Q10 Wireless Bluetooth Headphones, Over Ear and Foldable, Hi-Res Certified Sound, 60-Hour Playtime and Fast USB-C Charging, Deep Bass, Aux Input.  ","https://m.media-amazon.com/images/I/71QtBIbPC7L._AC_UL320_.jpg","https://amazon.com.au/Soundcore-Wireless-Bluetooth-Headphones-Certified/dp/B07SHG4H92/ref=sr_1_27?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-27","$,5,9,.,4,9,$,8,9,.,9,9","175","4.5 out of 5 stars"
"Sennheiser In Ear Headphones CX 300, Red  ","https://m.media-amazon.com/images/I/716sbR0Or1L._AC_UL320_.jpg","https://amazon.com.au/Sennheiser-Ear-Smart-Remote-300s/dp/B07N246ZPJ/ref=sr_1_28?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-28","$,6,8,.,7,1,$,8,9,.,9,5","625","4.1 out of 5 stars"
"KZ ZSN Pro X HiFi Earphone 1BA 1DD Hybrid Driver Bass Earbuds in Ear IEMs Detachable Cable Sport Monitor Headphone Headset (No mic,Black)  ","https://m.media-amazon.com/images/I/61XzYY2hxZL._AC_UL320_.jpg","https://amazon.com.au/ZSN-Pro-Earphone-Detachable-Headphone/dp/B08FB5XVRX/ref=sr_1_29?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-29","$,3,5,.,0,0","16","4.3 out of 5 stars"
"Edifier H180 Stereo Flat in-Ear Earbuds Headphones - Wired Classic Lightweight Basic Earbuds Earphones Comfortable - White  ","https://m.media-amazon.com/images/I/610zcduKZ0L._AC_UL320_.jpg","https://amazon.com.au/Without-Mic-White-Headphone-Headphones/dp/B016AY6DQO/ref=sr_1_30?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-30","$,9,.,9,9","2,811","4.2 out of 5 stars"
"SOUNDPEATS Dual Dynamic Drivers Bluetooth Headphones, Neckband Wireless Earbuds with Crossover, APTX HD Audio Built in Mic 22 Hours Playtime, Bluetooth 5.0 Headset Sports Earphones  ","https://m.media-amazon.com/images/I/61gJO1-D84L._AC_UL320_.jpg","https://amazon.com.au/SOUNDPEATS-Bluetooth-Headphones-Crossover-Earphones/dp/B086D6WXF5/ref=sr_1_31?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-31","$,5,4,.,9,9,$,5,8,.,9,9","305","4.3 out of 5 stars"
"SOUNDPEATS TrueAir2 Wireless Earbuds Bluetooth V5.2 Headphones Wireless Earphones with Qualcomm QCC3040, TrueWireless Mirroring, 4 Mic for Clear Calls and cVc 8.0 Noise Cancellation, aptX Codec, Total 25 Hours  ","https://m.media-amazon.com/images/I/51gYzDrGUBS._AC_UL320_.jpg","https://amazon.com.au/SOUNDPEATS-Bluetooth-Headphones-TrueWireless-Cancellation/dp/B08ZJFV25W/ref=sr_1_32?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-32","$,4,9,.,9,9","2,997","4.1 out of 5 stars"
"QCY T1C Wireless Bluetooth Earbuds, in-Ear Stereo Bluetooth Headphones, Wireless Charging Case, Noise Cancelling Built-in Mic, Deep Bass Binaural Calls Auto Pairing…  ","https://m.media-amazon.com/images/I/51or2JqGKYL._AC_UL320_.jpg","https://amazon.com.au/QCY-Wireless-Bluetooth-Headphones-Cancelling/dp/B089Y8BR2P/ref=sr_1_33?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-33","$,1,8,.,9,9","2,864","4.2 out of 5 stars"
"AfterShokz OpenMove Wireless Bone Conduction Headphones Bluetooth Sweat Resistant Earphones with Mic for Sport, Alpine White  ","https://m.media-amazon.com/images/I/517xN3tZq4L._AC_UL320_.jpg","https://amazon.com.au/AfterShokz-Conduction-Headphones-Bluetooth-Resistant/dp/B08BZDTBGZ/ref=sr_1_34?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-34","$,1,2,9,.,0,0","4,816","4.5 out of 5 stars"
"Anker Soundcore Life P2 True Wireless Earbuds with 4 Microphones, CVC 8.0 Noise Reduction, Graphene Drivers for Clear Sound, USB C, 40H Playtime, IPX7 Waterproof, Not for iPhone 11 Series  ","https://m.media-amazon.com/images/I/61ulUeZ+FYL._AC_UL320_.jpg","https://amazon.com.au/Soundcore-Wireless-Microphones-Reduction-Waterproof/dp/B07SJR6HL3/ref=sr_1_35?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-35","$,5,9,.,9,9,$,1,0,9,.,9,9","175","3.7 out of 5 stars"
"Sennheiser In Ear Wireless Headphones CX 150, Black  ","https://m.media-amazon.com/images/I/51Ufm+gAT9S._AC_UL320_.jpg","https://amazon.com.au/Sennheiser-CX-150BT-Black-Earphones/dp/B0829LLCSD/ref=sr_1_36?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-36","$,6,6,.,9,9,$,1,0,9,.,0,0","714","3.9 out of 5 stars"
"Powerbeats Pro Totally Wireless Earphones – Apple H1 Headphone chip, Class 1 Bluetooth®, 9 Hours of Listening time, Sweat-Resistant Earbuds – Cloud Pink  ","https://m.media-amazon.com/images/I/51bSiIi1COS._AC_UL320_.jpg","https://amazon.com.au/Powerbeats-Totally-Wireless-Earphones-Sweat-Resistant/dp/B08HXSMJ7L/ref=sr_1_37?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-37","$,3,4,4,.,9,0","9","3.7 out of 5 stars"
"Apple AirPods (3rd Generation)  ","https://m.media-amazon.com/images/I/615ekapl+pL._AC_UL320_.jpg","https://amazon.com.au/Apple-MME73ZA-A-AirPods-3rd-Generation/dp/B09JQX1VF4/ref=sr_1_38?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-38","$,2,6,8,.,0,0","29","4.4 out of 5 stars"
